Sr No.,Project Name,Sponsoring Authority,Location,Sector,Sub Sector,Total Project Cost (In Rs. Crore),PPPAC Meeting Date,Meeting Number,Recommended For
22,Construction of Guwahati Ring Road in the state of Assam on DBFOT (Toll),Ministry of Road Transport and Highways (MoRTH),Assam,Transport and Logistics,Roads,5729,20.02.2024,113th PPPAC,Final approval
23,Development of Outer Harbour Container Terminal Project including Dredging and Construction of Breakwater at VOC Port on DBFOT Basis,"Ministry of Ports, Shipping and Waterways (MoPSW)",Tamil Nadu,Transport and Logistics,Ports,7056,29.11.2023,112th PPPAC,Final approval
24,Monetization of Telecom Tower Assets of BSNL under on Operate Maintain Transfer (OMT) Concession,Department of Telecommunications,Across India,Communication,Telecommunication & Telecom Services,4200,06.04.2023,111th PPPAC,Final approval
25,Modalities of Asset Monetization through PSU InvITs,Ministry of Power,Across India,Energy,Power,0,07.03.2023,110th PPPAC,Final approval
26,"Development of Container Terminal at Tuna-Tekra, Deendayal Port on BOT basis under PPP mode",Deendayal Port Authority,Gujarat,Transport and Logistics,Ports,4539,09.06.2022,109th PPPAC,In-principle approval
27,Development of Multipurpose Cargo Berth Off Tuna Tekra (Outside Kandla Creek) at Gulf of Kutch at Kandla on BOT basis under PPP mode,Deendayal Port Authority,Gujarat,Transport and Logistics,Ports,2250,09.06.2022,109th PPPAC,Final approval
28,Development of Steel Silos under Hub & Spoke Model_Project-3,D/o Food & Public Distribution,Delhi,Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticultural produce including cold storage,567,13.05.2022,108th PPPAC,Final approval
29,Development of Steel Silos under Hub & Spoke Model_Project-2,D/o Food & Public Distribution,Delhi,Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticultural produce including cold storage,653,13.05.2022,108th PPPAC,Final approval
30,Development of Steel Silos under Hub & Spoke Model_Project-1,D/o Food & Public Distribution,Delhi,Social and Commercial Infrastructure,Post-harvest storage infrastructure for agriculture and horticultural produce including cold storage,881,13.05.2022,108th PPPAC,Final approval
31,"Development (Creation, Upgradation, Operation, Maintenance, and Utilisation) of BharatNet through PPP",Department of Telecommunications,Multi State,Communication,Telecommunication & Telecom Services,32041,13.12.2021,107th PPPAC,Final approval
32,Development of Sonnagar-Gomoh Section (261.35 Km) of EDFC(Eastern Dedicated Freight Corridor) on Hybrid-DBFOT) model on PPP mode,Ministry of Railways,Multi State,Transport and Logistics,"Railway track including electrical & signalling system, tunnels, viaducts, bridges",9751,13.12.2021,106th PPPAC,Final approval
33,Asset monetization of two natural gas pipelines of GAIL through the InvIT route-'In-Principle' approval,Ministry of Petroleum and Natural Gas,Across India,Energy,Oil/Gas/Liquefied Natural Gas (LNG) storage facility,5000,27.08.2021,105th PPPAC,Revalidation of Final approval
34,Passenger Train Operations Project on PPP mode,Ministry of Railways,Across India,Transport and Logistics,"Railway track including electrical & signalling system, tunnels, viaducts, bridges",30099,14.06.2021,104th PPPAC,Final approval
35,Redevelopment and operation of Surat MMTH and Udhana railway station on PPP mode,Ministry of Railways,Gujarat,Transport and Logistics,"Railway track including electrical & signalling system, tunnels, viaducts, bridges",1285,24.05.2021,103rd PPPAC,In-principle approval
36,"Development of Eco-Tourism Resort in Minicoy Island, Lakshadweep Islands through PPP mode",Ministry of Home Affairs,Lakshadweep,Social and Commercial Infrastructure,Tourism,302,11.05.2021,102th PPPAC,Final approval
37,Construction of Sonnagar -Gomoh Section (263.705 Km) of Eastern Dedicated Freight Corridor on PPP                       basis,Ministry of Railways,Jharkhand,Transport and Logistics,"Railway track including electrical & signalling system, tunnels, viaducts, bridges",2270,18.03.2021,101st PPPAC,Final approval
38,"Development of two Strategic Reserves at Chandikhol Odisha and Padur II, Karnataka projects on DBFOT through PPP mode",Ministry of Petroleum and Natural Gas,Multi State,Energy,Oil/Gas/Liquefied Natural Gas (LNG) storage facility,16977,15.03.2021,100th PPPAC,Final approval
39,Redevelopment of Lucknow Railway Station through PPP model,Rail Land Development Authority,Uttar Pradesh,Transport and Logistics,"Railway track including electrical & signalling system, tunnels, viaducts, bridges",557,19.02.2021,99th PPPAC,In-principle approval
40,"Development (Creation, Upgradation, Operation, Maintenance, and Utilisation) of BharatNet through PPP",Department of Telecommunications,Across India,Communication,Telecommunication & Telecom Services,29432,19.02.2021,99th PPPAC,Final approval
41,"Development (Creation, Upgradation, Operation, Maintenance, and Utilisation) of BharatNet through PPP",Department of Telecommunications,Across India,Communication,Telecommunication & Telecom Services,29199,17.12.2020,98th PPPAC,Final approval
42,Passenger Train Operations Project on PPP mode,Ministry of Railways,Multi State,Transport and Logistics,"Railway track including electrical & signalling system, tunnels, viaducts, bridges",30099,29.10.2020,97th PPPAC,Final approval
43,"Development of Eco-Tourism Resort in Lalaji Bay, Long Island, Andaman and Nicobar Islands through PPP mode",Ministry of Home Affairs,Andaman and Nicobar Islands,Social and Commercial Infrastructure,Tourism,391,16.09.2020,96th PPPAC,Final approval
44,Redevelopment of New Delhi Railway Station & Development of Commercial Facilities on DBFOT basis under PPP mode to be undertaken by RLDA,Ministry of Railways,Delhi,Transport and Logistics,"Railway track including electrical & signalling system, tunnels, viaducts, bridges",4425,03.07.2020,95th PPPAC,In-principle approval
45,Redevelopment of Chhatrapati Shivaji Maharaj Terminus Railway Station on DBFOT basis on PPP mode to be undertaken by IRSDC,Ministry of Railways,Maharashtra,Transport and Logistics,"Railway track including electrical & signalling system, tunnels, viaducts, bridges",1796,03.07.2020,95th PPPAC,In-principle approval
46,"Operation, Management & Development of Multi-modal Terminal (MMT) at Sahibganj",Ministry of Shipping,Jharkhand,Transport and Logistics,Ports,376,01.06.2020,94th PPPAC,Final approval
47,Passenger Train Operations Project on PPP mode,Ministry of Railways,Multi State,Transport and Logistics,"Railway track including electrical & signalling system, tunnels, viaducts, bridges",22500,01.06.2020,92nd PPPAC,Final approval
48,Passenger Train Operations Project on PPP mode,Ministry of Railways,Across India,Transport and Logistics,"Railway track including electrical & signalling system, tunnels, viaducts, bridges",22500,17.03.2020,93rd PPPAC,Final approval
49,"Redevelopment of Gwalior, Nagpur, Amritsar and Sabarmati Railway stations on PPP mode",Ministry of Railways,Madhya Pradesh,Transport and Logistics,"Railway track including electrical & signalling system, tunnels, viaducts, bridges",300,17.12.2019,91st PPPAC,In-principle approval
50,Redevelopment of Nagpur Railway stations on PPP mode,Ministry of Railways,Maharashtra,Transport and Logistics,"Railway track including electrical & signalling system, tunnels, viaducts, bridges",465,17.12.2019,91st PPPAC,In-principle approval
51,Redevelopment of Amritsar Railway stations on PPP mode,Ministry of Railways,Punjab,Transport and Logistics,"Railway track including electrical & signalling system, tunnels, viaducts, bridges",375,17.12.2019,91st PPPAC,In-principle approval
52,Redevelopment of Sabarmati Railway stations on PPP mode,Ministry of Railways,Gujarat,Transport and Logistics,"Railway track including electrical & signalling system, tunnels, viaducts, bridges",156,17.12.2019,91st PPPAC,In-principle approval
53,Deepening and Optimization of Paradip Port Trust (PPT) Inner Harbour Facilities including construction of Western Dock Captive Berths to handle capesize vessels on PPP mode,Ministry of Shipping,Odisha,Transport and Logistics,Ports,3025,30.10.2019,90th PPPAC,Final approval
54,"Development of Eco-Tourism Resort in Lalaji Bay, Long Island, Andaman and Nicobar Islands through PPP mode",Ministry of Home Affairs,Andaman and Nicobar Islands,Social and Commercial Infrastructure,Tourism,391,27.08.2019,89th PPPAC,In-principle approval
55,"Development of Eco-Tourism Resort in Minicoy Island, Lakshadweep Islands through PPP mode",Ministry of Home Affairs,Lakshadweep,Social and Commercial Infrastructure,Tourism,302,27.08.2019,89th PPPAC,In-principle approval
56,"Opeartion, Management and Development (OMD) of Multimodal Terminal (MMT) at Varanasi under PPP mode",Ministry of Shipping,Uttar Pradesh,Social and Commercial Infrastructure,Affordable Housing,334,28.02.2019,86th PPPAC,Final approval
57,"Proposal for Operation, Management and Development of Ahmedabad Airport of Airports Authority of India (AAI) through PPP mode (Cost considered here is Estimated Investment by Cocessionaire)",Airports Authority of India,Gujarat,Transport and Logistics,Airport,1704,11.12.2018,85th PPPAC,Final approval
58,"Proposal for Operation, Management and Development of Jaipur Airport of Airports Authority of India (AAI) through PPP mode (Cost considered here is Estimated Investment by Cocessionaire)",Airports Authority of India,Rajasthan,Transport and Logistics,Airport,1838,11.12.2018,85th PPPAC,Final approval
59,"Proposal for Operation, Management and Development of Lucknow Airport of Airports Authority of India (AAI) through PPP mode (Cost considered here is Estimated Investment by Cocessionaire)",Airports Authority of India,Uttar Pradesh,Transport and Logistics,Airport,1673,11.12.2018,85th PPPAC,Final approval
60,"Proposal for Operation, Management and Development of Guwahati Airport of Airports Authority of India (AAI) through PPP mode (Cost considered here is Estimated Investment by Cocessionaire)",Airports Authority of India,Assam,Transport and Logistics,Airport,1507,11.12.2018,85th PPPAC,Final approval
61,"Proposal for Operation, Management and Development of Mangaluru Airport of Airports Authority of India (AAI) through PPP mode (Cost considered here is Estimated Investment by Cocessionaire)",Airports Authority of India,Karnataka,Transport and Logistics,Airport,1482,11.12.2018,85th PPPAC,Final approval
62,"Proposal for Operation, Management and Development of Trivandrum Airport of Airports Authority of India (AAI) through PPP mode (Cost considered here is Estimated Investment by Cocessionaire)",Airports Authority of India,Kerala,Transport and Logistics,Airport,813,11.12.2018,85th PPPAC,Final approval
63,"Development of Ecor-Tourism Resort in Lalaji Bay, Long Island, Andaman and Nicobar Islands through PPP mode",Ministry of Home Affairs,Andaman and Nicobar Islands,Social and Commercial Infrastructure,Tourism,379,07.12.2018,84th PPPAC,In-principle approval
64,Sx laning of Anandapuram - Pendurthi - Anakapalli section of NH 5 (New NH-16) from KM 681 to KM 731.78 alongwith fourlane connectivity to Visakhapatnam Port Road from KM 0 to KM 12.7 in Andhra Pradesh on Hybrid Annuity Mode,Ministry of Road Transport and Highways,Andhra Pradesh,Transport and Logistics,Roads,2355,22.09.2017,83nd PPPAC,Final approval
65,Six laning of Nidagatta-Mysore section of NH-275 from km 74.20 to km 135.304 in the state of Karnataka on Hybrid Annuity mode (Package-II),Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,2178,17.05.2017,82nd PPPAC,Final approval
66,Six laning of Bangalore-Nidagatta section of NH-275 from km 18 to km 74.20 in the state of Karnataka on Hybrid Annuity Mode (Package I),Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,1995,17.05.2017,82nd PPPAC,Final approval
67,6 laning of Narasannapeta-Ranastalam section on NH-16 (old NH-5) from km 580.671 to km 634.861 in the state of Andhra Pradesh under NHDP Phase V on Hybrid Annuity Mode,Ministry of Road Transport and Highways,Andhra Pradesh,Transport and Logistics,Roads,1323,17.05.2017,82nd PPPAC,Final approval
68,Six laning of Chakeri - Allahabad section of NH 2 (from KM 483.687 KM 628.753) in the State of State of Uttar Pradesh under NHDP Phase V on Hybrid Annuity Mode,Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,1735,14.02.2017,81st PPPAC,Final approval
69,4 laning of Solapur - Bijapur section of NH 13 from KM 0.00 to KM 110.542 in the State of Maharashtra and Karnataka under NHDP Phase III on DBFO (Toll) basis,Ministry of Road Transport and Highways,Multi State,Transport and Logistics,Roads,1577,14.02.2017,81st PPPAC,Final approval
70,4 laning of end of Pandoh bypass to Takoli section of NH 21 from KM 221.305 to 242.00 KM under NHDP IVB in the State of Himachal Pradesh on Hybrid Annuity Mode,Ministry of Road Transport and Highways,Himachal Pradesh,Transport and Logistics,Roads,2486,14.02.2017,81st PPPAC,Final approval
71,4 laning with paved shoulder of Porbandar - Dwarka section of NH 8E from KM 356.766 to KM 473 in the State of Gujarat on Hybrid Annuity Mode,Ministry of Road Transport and Highways,Gujarat,Transport and Logistics,Roads,1463,14.02.2017,81st PPPAC,Final approval
72,Operation and Maintenance of Select Areas of Jaipur Airport,Ministry of Civil Aviation,Rajasthan,Transport and Logistics,Airport,0,28.10.2016,80th PPPAC,Final approval
73,Operation and Maintenance of Select Areas of Ahmedabad Airport,Ministry of Civil Aviation,Gujarat,Transport and Logistics,Airport,0,28.10.2016,80th PPPAC,Final approval
74,Six Laning of Handia Varanasi Section of NH-2 from KM 713.146 to KM 785.544 in the State of Uttar Pradesh under NHDP Phase V on Hybrid Annuity Mode,Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,2065,28.10.2016,80th PPPAC,Final approval
75,Construction of New Link (NH-133B) from Km. 0.000 (Km. 200.87 of Sahibganj Bypass) in Jharkhand to Km. 15.885 (Junction of NH-133B and 131A on Manihanri Bypass) and construction of Manihari Bypass from Km. 0.000 (Junction of NH-133B and 131A on Manihari Bypass) to Km. 6.000 near Naranpur of NH-131A in the State of Bihar including 4 Lane Ganga Bridge on Hybrid Annuity Mode under NH(0thers),Ministry of Road Transport and Highways,Multi State,Transport and Logistics,Roads,1906,13.06.2016,79th PPPAC,Final approval
76,Four laning of Phagwara-Rupnagar of NH-344A in Punjab on Hybrid Annuity Mode (total 80.82 KM),Ministry of Road Transport and Highways,Punjab,Transport and Logistics,Roads,1170,25.04.2016,78th PPPAC,Final approval
77,Construction and Upgradation of NH-131A from Km. 34.578 near Narenpur to Km. 81.000 near Purnea to 4 Lane standard in thew State of Bihar on Hybrid Annuity Model under NH(0) Funding  (Package II),Ministry of Road Transport and Highways,Bihar,Transport and Logistics,Roads,1161,22.03.2016,77th PPPAC,Final approval
78,Construction of New Link (NH-133B) from Km. 0.000 (Km. 200.87 of Sahibganj Bypass) in Jharkhand to Km. 15.885 (Junction of NH-133B and 131A on Manihanri Bypass) and construction of Manihari Bypass from Km. 0.000 (Junction of NH-133B and 131A on Manihari Bypass) to Km. 6.000 near Naranpur of NH-131A in the State of Bihar including 4 Lane Ganga Bridge on Hybrid Annuity Mode under NH(0) funding (Package I),Ministry of Road Transport and Highways,Multi State,Transport and Logistics,Roads,1906,22.03.2016,77th PPPAC,Final approval
79,"Re-development of Berth 8, 9 and Barge Berth at Port of Marmugao, Goa",Ministry of Shipping,Goa,Transport and Logistics,Ports,1421,22.03.2016,77th PPPAC,Final approval
80,Four Laning Aurangabad to Telwadi Section of NH - 211 from Km. 290.200 to 376.000 in the State of Maharashtra under the NHDP Phase IV on DBFOT (Toll) Basis,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,1252,22.03.2016,77th PPPAC,Final approval
81,Six Laning of Kharar to Ludhiana Section of NH - 95 (New NH - 05) from Kharar Km. 10+185 to Samrala Chowk Ludhiana Km. 86+199 in the State of Punjab under NHDP Phase V on Hybrid Annuity Mode,Ministry of Road Transport and Highways,Punjab,Transport and Logistics,Roads,1388,22.03.2016,77th PPPAC,Final approval
82,Four laning of Chikhali to Fagne Section of NH-6 from Km. 360.000 to Km. 510.000 in the State of Maharashtra on DBFOT Basis under NHDP Phase IV,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,2005,02.02.2016,76th PPPAC,Final approval
83,Two Laning of proposed Shimla Bypass (Kaithalighat to Shimla Section) of NH-22 under NHDP Phase III on Hybrid Annuity Mode,Ministry of Road Transport and Highways,Himachal Pradesh,Transport and Logistics,Roads,1161,02.02.2016,76th PPPAC,Final approval
84,Eight/Six Laning of Delhi Meerut Expressway from Km. 8.360 to Km. 27.740 (UP Border to Dasna) oh NH-24 on Hybrid Annuity Mode (Package II),Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,1377,02.02.2016,76th PPPAC,Final approval
85,Four Laning of Lucknow Sultanpur Section of NH-56 on Hybrid Annuity Mode,Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,1638,02.02.2016,76th PPPAC,Final approval
86,Setting Up of Floating Storage and Regasification Unit in Mumbai Harbour on DBFOT Basis,Ministry of Shipping,Maharashtra,Transport and Logistics,Ports,2690,29.12.2015,75th PPPAC,Final approval
87,Final Approval for Six laning of Aurangabad to Bihar/ Jharkhand Border section of NH-2 from Km 180.00 to Km 249.320,Ministry of Road Transport and Highways,Bihar,Transport and Logistics,Roads,1006,15.10.2015,74th PPPAC,Final approval
88,Final Approval for Six laning of Bihar/ Jharkhand Border (Chordaha) to Barwa Adda section of NH-2 from Km 249.320 to Km 400.132,Ministry of Road Transport and Highways,Jharkhand,Transport and Logistics,Roads,2769,15.10.2015,74th PPPAC,Final approval
89,"Mechanization of EQ 1,2,3 Berths at Paradip Port on BOT basis under PPP Mode",Ministry of Shipping,Odisha,Transport and Logistics,Ports,1413,11.06.2015,73rd PPPAC,Final approval
90,Four laning of Chikli to Fagne Section of NH-6 from Km 360.00 to Km 510.00,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,1853,10.04.2015,72th PPPAC,Final approval
91,Four laning of Cuttack-Augul section of NH-42 from km 0.000 to 112.000 in the state of Orissa under NHDP Phase IV B on BoT (Toll) basis,Ministry of Road Transport and Highways,Odisha,Transport and Logistics,Roads,1463,10.04.2015,72nd PPPAC,Final approval
92,Four laning of Amravati to Chikhli Section of NH-6 from Km 166.00 to Km 360.00 in the state of Maharashtra under NHDP Phase IV,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,2288,10.04.2015,72nd PPPAC,Final approval
93,Four laning of fagne to Gujarat-Maharashtra Border section of NH 6 from Km 510.00 to Km 650.79 in the state of Maharashtra under NHDP Phase IV,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,1886,10.04.2015,72nd PPPAC,Final approval
94,Four laning of Guna to Biaora section of NH 3 from Km 332.100 to Km 426.100 in the state of Madhya Pradesh under NHDP phase IV,Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,1013,20.03.2015,71st PPPAC,Final approval
95,Four laning of Biora - Dewas section of NH-3 from Km 426.100 to Km 566.450 in the state of Madhya Pradesh under NHDP phase IV,Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,1584,20.03.2015,71st PPPAC,Final approval
96,Six laning of Agra-Etawah Section of NH 2 from Km 199/660 to km 323.525 on BoT (Toll) in the state of Uttar Pradesh under NHDP Phase V.,Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,1650,18.02.2015,70th PPPAC,Final approval
97,"Four laning of Solapur - Bijapur section of  NH 13, under NHDP Phase III from km 0.000 to 110.542 in the States of Maharashtra and Karnataka on BOT (Toll) Basis",Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,1378,18.02.2015,70th PPPAC,Final approval
98,Eight laning of Mukarba Chowk to Panipat of NH 1 (DEL-HRY),Ministry of Road Transport and Highways,Haryana,Transport and Logistics,Roads,2129,18.02.2015,70th PPPAC,Final approval
99,Four laning of Hospet-Chitradurga section of NH-13 from km 299.000 to km 418.600 in the state of Karnataka under NHDP Phase IV B on BoT (Toll) basis,Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,1388,22.01.2015,69th PPPAC,Final approval
100,Four/six laning of Raipur-Bilaspur section of NH 200 from km 0.000 to km 127.650 in the State of Chhattisgarh under NHDP Phase IV B on BoT (Toll) basis,Ministry of Road Transport and Highways,Chhattisgarh,Transport and Logistics,Roads,1549,23.12.2014,68th PPPAC,Final approval
101,Six laning of Chakeri-Allahabad section of NH-2 from km 483.687 to km 630.0 under NHDP Phase-V on BOT (Toll) basis.,Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,1662,23.12.2014,68th PPPAC,Final approval
102,Six laning of Handia- Varanasi from km 713.146 to km 785.544 under NHDP-V,Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,2356,27.11.2014,67th PPPAC,Final approval
103,Eastern Peripheral Expressway (NH No. NE-II),Ministry of Road Transport and Highways,Haryana,Transport and Logistics,Roads,4489,27.11.2014,67th PPPAC,Final approval
104,Six laning of Chandikhole - Baleshwar section of NH 5 from NH 62.00 and km 199.141 in the state of Orissa,Ministry of Road Transport and Highways,Odisha,Transport and Logistics,Roads,2177,27.11.2014,67th PPPAC,Final approval
105,Four laning of Nagina Kashipur Section of NH 74 from KM 71.614 to KM 170.407 under NHDP IV,Ministry of Road Transport and Highways,Multi State,Transport and Logistics,Roads,1099,31.07.2014,66th PPPAC,Final approval
106,Four laning of Lucknow-Sultanpur Section of NH 56 from KM 11.5 to KM 135 under NHDP IV,Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,1276,31.07.2014,66th PPPAC,Final approval
107,Four laning of Singhara-Bhinjhabal Section of NH6 from KM 310.806 to KM 414.982 under NHDP IV,Ministry of Road Transport and Highways,Odisha,Transport and Logistics,Roads,1045,31.07.2014,66th PPPAC,Final approval
108,Four-laning of Chutmalpur-Ganeshpur section of NH-72A from Km 0.000 (Km 22.825 of NH-73) to Km 17.900 & Roorkee-Chutmalpur-Saharanpur-Yamunanagar (UP/Haryana Border) Section of NH-73 from Km 0.000 (Km 167.800 of NH-58) to Km 86.855in the State of Uttarakh,Ministry of Road Transport and Highways,Multi State,Transport and Logistics,Roads,1390,09.06.2014,65th PPPAC,Final approval
109,Four laning of Mohania - Ara section of NH -30 (KM 0.000 to KM 116.700) in the State of Bihar on DBFOT (Toll) basis,Ministry of Road Transport and Highways,Bihar,Transport and Logistics,Roads,917,09.06.2014,65th PPPAC,Final approval
110,Four laning of Rajauli - Bakhtiyarpur section of NH -31 in the State of Bihar on DBFOT (Toll) basis,Ministry of Road Transport and Highways,Bihar,Transport and Logistics,Roads,847,09.06.2014,65th PPPAC,Final approval
111,Four-laning a section between Yadgiri-Warangal section of NH 202 from km 54.000 to km 150.000 in the State of Andhra Pradesh under NHDP-IV on BOT (Toll) basis,Ministry of Road Transport and Highways,Andhra Pradesh,Transport and Logistics,Roads,1123,28.04.2014,64th PPPAC,Final approval
